City,Status,FSA,Neighborhood,UP2,Collections,Address,Mint Price,Last Price,Owner EOS,Owner,Ownership Changed At,Currency,Markup,Structure,Structure Name,Yield Per Month,Yield Per Month (Max),Property ID,Sale Price,Price Per UP2
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA PASCOAL PAIS, 202",6734,9000,xeazt234pq24,tucapaulino,2023-03-03T14:49:00.000Z,,,,,"81,45",No boost,41325189998957,,
Sao Paulo,For sale,TRUE,ITAIM BIBI,26,[],"RUA BRITO PEIXOTO, 128",6734,6734,eot4u1dzrhsf,jkribeiroto,2023-03-20T22:09:47.000Z,UPX,235,,,"81,45",No boost,41325156444467,15800,"607,6923077"
Sao Paulo,Owned,TRUE,ITAIM BIBI,26,[],"RUA ALVARO RODRIGUES, 440",6734,7550,u3o4gchb5rul,orchardst,2023-03-06T03:51:54.000Z,,,,,"81,45",No boost,41324938340698,,
Sao Paulo,For sale,FALSE,ITAIM BIBI,26,[],"AVENIDA PORTUGAL, 1509",6734,6734,as25qlekldsd,fyllypy,2023-02-23T17:05:45.500Z,UPX,252,,,"81,45",No boost,41324770568631,17000,"653,8461538"
Sao Paulo,Owned,TRUE,ITAIM BIBI,26,[],"RUA ALVARO RODRIGUES, 394",6734,6734,yl2yyyxqupse,anacarol98,2023-04-03T15:25:26.000Z,,,,,"81,45",No boost,41324770568551,,
Sao Paulo,Owned,TRUE,ITAIM BIBI,26,[],"RUA NICOLAU BARRETO, 149B",6734,7000,qcybp5m3qqot,arc000,2023-03-21T14:41:18.000Z,,,,,"81,45",No boost,41324770568462,,
Sao Paulo,For sale,TRUE,ITAIM BIBI,26,[],"RUA ALVARO RODRIGUES, 372",6734,6734,mf3uzpnqrqzx,mayveenj,2023-02-25T11:22:16.000Z,UPX,193,,,"81,45",No boost,41324720236907,13000,500
Sao Paulo,For sale,TRUE,ITAIM BIBI,26,[],"RUA BACAETAVA, 152",6734,6734,jbfugbc4ti1o,world23,2023-02-23T17:08:40.500Z,UPX,206,,,"81,45",No boost,41324518910097,13900,"534,6153846"
Sao Paulo,Owned,TRUE,ITAIM BIBI,26,[],"RUA CAETANO JOSE BATISTA, 84",6734,6734,jflkjqjulfij,bellio,2023-03-16T23:20:24.000Z,,,processing,iwzpfunivool,"81,45",No boost,41324334360813,,
Sao Paulo,For sale,FALSE,ITAIM BIBI,26,[],"RUA MINISTRO LUIZ GALLOTTI, 216C",6734,6734,sh21wghtymxx,imredbeard,2023-02-23T17:08:13.000Z,USD,86,,,"81,45",No boost,41324284029405,"5,8","0,2230769231"
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA PROFESSOR JOSE LEITE E OITICICA, 13",6734,5000,bwkgihnwxttc,schmalzi,2023-03-07T14:28:18.000Z,,,,,"81,45",No boost,41323931707584,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA DOUTOR MARCELO FERNANDO CALABRIA, 57",6734,6734,ecdreautq3qr,darkbloom,2023-02-23T17:07:53.000Z,,,,,"81,45",No boost,41323881376206,,
Sao Paulo,Owned,TRUE,ITAIM BIBI,26,[],"RUA JACERU, 219",6734,6734,a3nafdns4pro,yokkoh,2023-03-29T19:28:09.500Z,,,,,"81,45",No boost,41323797489851,,
Sao Paulo,For sale,FALSE,ITAIM BIBI,26,[],"RUA MAX KLAUSSNER, 79",6734,6734,mhgze2clvwui,bitcoinbeanr,2023-02-23T17:03:00.000Z,UPX,446,,,"81,45",No boost,41323680049298,30000,"1153,846154"
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"AVENIDA MORUMBI, 8677",6734,6734,vzsm4c1erze5,jakey1992,2023-02-23T17:05:54.000Z,,,,,"81,45",No boost,41323663272347,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"AVENIDA MORUMBI, 8687",6734,8959,xbtaetdnz14y,edsonaguiar,2023-03-22T22:23:24.000Z,,,,,"81,45",No boost,41323646495134,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA PASSAROS E FLORES, 520",6734,4000,jqnzupuppw5z,adrnlin,2023-03-01T21:50:42.000Z,,,,,"81,45",No boost,41323646495012,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA MAX KLAUSSNER, 67A",6734,6734,atk4gfdztbhy,fplusf,2023-02-23T17:05:29.000Z,,,,,"81,45",No boost,41323646494872,,
